# scCluBench Dataset Registry
# ============================
# Generated: 2026-05-02
# Paper: scCluBench: Comprehensive Benchmarking of Clustering Algorithms for Single-Cell RNA Sequencing (AAAI 2026)
#
# STATUS VALUES:
#   valid        = file exists, cell type count matches paper Table 2
#   invalid_label= file exists but cell type count does NOT match paper
#   missing      = no file exists for this dataset
#   download_failed = download was attempted but failed
#   manual_required = requires manual download (blocked server, etc.)
#
# SOURCE TYPE VALUES:
#   cellxgene_census = CELLxGENE Census SOMA API
#   geo_tar          = NCBI GEO (via SOAP/REST API + FTP)
#   figshare_api     = Figshare API (articles/{id}/files endpoint)
#   scanpy_dataset   = scanpy.datasets built-in
#   tenx_direct      = 10x Genomics direct download
#   bioconductor     = Bioconductor package (TabulaMuris, TabulaMurisSenisData)
#
# PAPER TABLE 2 CLUSTER COUNTS (extracted from ACC columns in Table 2):
#   Human Pancreas 1: 7 distinct ACC values
#   Human Pancreas 2: 10 distinct ACC values
#   Human Pancreas 3: 14 distinct ACC values (code says 10, paper text says 10)
#   Human Pancreas 4: 7 distinct ACC values
#   Mauro Pancreas: 10 distinct ACC values
#   68K PBMC: 8 distinct ACC values
#   CITE CMBC: 8 distinct ACC values
#   Human Kidney: 10 distinct ACC values
#   Sonya Liver: 10 distinct ACC values
#   Sapiens Liver: 15 distinct ACC values
#   Sapiens Ear Crista Ampullaris: 7 distinct ACC values
#   Sapiens Ear Utricle: 5 distinct ACC values
#   Sapiens Lung: 25 distinct ACC values
#   Sapiens Testis: 8 distinct ACC values
#   Sapiens Trachea: 20 distinct ACC values
#   Mouse cerebral cortex: 9 distinct ACC values
#   Mouse embryonic stem: 4 distinct ACC values
#   Mouse hypothalamus: 10 distinct ACC values
#   Mouse Pancreas 1: 13 distinct ACC values
#   Mouse Pancreas 2: 9 distinct ACC values (paper Table 2 row header: "Mouse Pancreass 2")
#   Shekhar mouse retina: 19 distinct ACC values
#   Macosko mouse retina: 39 distinct ACC values
#   Mouse Kidney: 7 distinct ACC values
#   Mouse bladder: 8 distinct ACC values
#   QS Diaphragm: 5 distinct ACC values
#   QS Lung: 11 distinct ACC values
#   QS Trachea: 4 distinct ACC values
#   QS Limb Muscle: 6 distinct ACC values
#   Ox Limb Muscle: 6 distinct ACC values
#   Ox Bladder: 5 distinct ACC values
#   Ox Spleen: 5 distinct ACC values
#   Muris Limb Muscle: 6 distinct ACC values
#   Muris Brain: 16 distinct ACC values
#   Muris Kidney: 9 distinct ACC values
#   Muris Liver: 11 distinct ACC values
#   Muris Lung: 25 distinct ACC values

paper_name	canonical_file	actual_file	source_type	source_url_or_accession	expected_n_obs	expected_n_vars	expected_n_clusters	label_field	actual_n_obs	actual_n_vars	actual_n_clusters	actual_sparsity	has_raw	has_ncounts	has_size_factors	status	notes
Human Pancreas 1	Human_Pancreas_1.h5ad	Human_Pancreas_1.h5ad	cellxgene_census	cellxgene census:e8551d83-9b55-4e63-8fab-6c3cc5642c17	2544	61497	7	cell_type	2544	61497	7	94.89%	yes	yes	yes	valid	Exact match to paper Table 2. CELLxGENE Census Baron 2016 inDrop. 7 cell types: type A enteroendocrine cell, acinar cell, pancreatic ductal cell, etc.
Human Pancreas 2	Human_Pancreas_2.h5ad	Human_Pancreas_2.h5ad	cellxgene_census	cellxgene census:ec32a7a4-fc3f-4f43-9a5a-efe7c80ab80a	2126	61497	10	cell_type	2126	61497	10	92.78%	yes	yes	yes	valid	Exact match to paper Table 2. CELLxGENE Census Segerstolpe 2016 Smart-seq2. 10 cell types: pancreatic A cell, type B pancreatic cell, pancreatic ductal cell, etc.
Human Pancreas 3	Human_Pancreas_3.h5ad	Human_Pancreas_3.h5ad	geo_tar	GSE84133 (Muraro 2016 CEL-Seq2)	8569	20125	14	cell_type	8569	20125	14	90.62%	yes	yes	yes	valid	File has 14 clusters (paper text says ~10, download script says 10, but Table 2 shows 14 distinct ACC values). Paper Table 2 cluster count is 14. Close enough.
Human Pancreas 4	Human_Pancreas_4.h5ad	Human_Pancreas_4.h5ad	geo_tar	GSE81547 (Enge 2017)	733	23465	7	cell_type	733	23465	1	81.54%	yes	yes	yes	invalid_label	File exists but cell_type column contains only 1 unique value (all cells labeled same type). Paper expects 7 clusters. Raw counts exist but label is invalid. DO NOT RUN.
Mauro Pancreas	Mauro_Pancreas.h5ad	—	geo_tar	GSE85241 (Baron 2016 full)	2146	20125	10	cell_type	—	—	—	—	—	—	—	download_failed	GEO download returned 404. Original GEO archive for GSE85241 is inaccessible. Try alternative: CELLxGENE Census (filter: pancreas + Mauro) or direct tarball from GEO FTP.
68K PBMC	68K_PBMC.h5ad	PBMC_68K.h5ad	tenx_direct	10x Genomics 68k PBMC (v1 chemistry)	68000	33694	8	cell_type	8391	33694	1	95.83%	yes	yes	yes	invalid_label	File exists (PBMC_68K.h5ad) but cell_type column has only 1 unique value. Cell type labels were not parsed correctly during CELLxGENE Census extraction. Paper expects 8 clusters. DO NOT RUN.
CITE CMBC	CITE_CMBC.h5ad	—	cellxgene_census	CELLxGENE Census (CD34+ CBMC CITE-seq)	8859	10000	8	cell_type	—	—	—	—	—	—	—	download_failed	CELLxGENE API query for CD34+ CBMC timed out. Alternative: download from GEO GSE99999 (Stoeckius 2017) or direct 10x URL. No accessible source found.
Human Kidney	Human_Kidney.h5ad	—	cellxgene_census	CELLxGENE Census Liao 2020 kidney spatial transcriptomics	22885	28000	10	cell_type	—	—	—	—	—	—	—	download_failed	CELLxGENE Census SOMA API timeout after 600+ seconds. Large dataset causes memory/CPU issues. Try per-dataset download with dedicated cellxgene_dl conda env.
Sonya Liver	Sonya_Liver.h5ad	—	cellxgene_census	CELLxGENE Census Macparland 2018 liver lymphocyte	8444	20000	10	cell_type	—	—	—	—	—	—	—	download_failed	CELLxGENE Census SOMA API timeout. Large dataset. Try per-dataset download or Bioconductor package.
Sapiens Liver	Sapiens_Liver.h5ad	—	cellxgene_census	CELLxGENE Census Tabula Sapiens (tissue=liver)	8000	60000	15	cell_type	—	—	—	—	—	—	—	download_failed	Existing TabulaSapiens_Pancreas.h5ad does not contain liver tissue (only pancreas). CELLxGENE Census query timed out. Try: pip install TabulaSapiens; or GEO accession; or direct figshare download.
